feedback_id,customer_name,feedback,date,product,clean_feedback
132,Anitha,Nothing special,2025-12-06,Headphones,nothingspecial
133,Karthik,Excellent quality and very satisfied,2025-01-29,Headphones,excellentqualityandverysatisfied
134,Divya,Nothing special,2025-01-31,Headphones,nothingspecial
135,Suresh,Great service and fast delivery,2025-08-30,Mobile App,greatserviceandfastdelivery
136,Suresh,Average experience,2025-05-06,Headphones,averageexperience
137,Karthik,Delivery was too late,2025-06-14,E-commerce,deliverywastoolate
138,Anitha,"Amazing experience, highly recommend",2025-07-15,Banking App,amazingexperiencehighlyrecommend
139,Arun,Okay for the price,2025-05-10,Mobile App,okayfortheprice
140,Sneha,Great service and fast delivery,2025-02-27,E-commerce,greatserviceandfastdelivery
141,Suresh,Okay for the price,2025-03-28,Mobile App,okayfortheprice
142,Divya,Delivery was too late,2025-09-15,Laptop,deliverywastoolate
143,Priya,Nothing special,2025-11-22,Smart Watch,nothingspecial
144,Pooja,Acceptable performance,2025-07-19,Mobile,acceptableperformance
145,Arun,"Amazing experience, highly recommend",2025-05-05,Mobile,amazingexperiencehighlyrecommend
146,Rahul,Very bad experience and disappointed,2025-08-24,Headphones,verybadexperienceanddisappointed
147,Rahul,Poor quality and waste of money,2025-12-21,Mobile App,poorqualityandwasteofmoney
148,Pooja,Average experience,2025-06-23,Laptop,averageexperience
149,Rahul,Average experience,2025-05-01,Mobile,averageexperience
150,Anitha,Delivery was too late,2025-07-27,E-commerce,deliverywastoolate
151,Priya,Okay for the price,2025-11-18,Internet Service,okayfortheprice
152,Pooja,Average experience,2025-11-14,Smart Watch,averageexperience
153,Priya,Average experience,2025-04-04,Laptop,averageexperience
154,Karthik,Very happy with the product,2025-03-17,Banking App,veryhappywiththeproduct
155,Suresh,Acceptable performance,2025-06-30,Laptop,acceptableperformance
156,Divya,Poor quality and waste of money,2025-10-13,Banking App,poorqualityandwasteofmoney
157,Suresh,Great service and fast delivery,2025-02-23,Mobile App,greatserviceandfastdelivery
158,Priya,Acceptable performance,2025-03-27,Mobile,acceptableperformance
159,Manoj,Support team was very helpful,2025-05-07,E-commerce,supportteamwasveryhelpful
160,Manoj,Great service and fast delivery,2025-08-10,Headphones,greatserviceandfastdelivery
161,Suresh,Nothing special,2025-01-06,E-commerce,nothingspecial
162,Manoj,Delivery was too late,2025-02-19,Mobile,deliverywastoolate
163,Pooja,Decent product,2025-11-12,Smart Watch,decentproduct
164,Sneha,Support team was very helpful,2025-10-27,Smart Watch,supportteamwasveryhelpful
165,Karthik,Customer support did not respond,2025-02-23,Internet Service,customersupportdidnotrespond
166,Karthik,Support team was very helpful,2025-09-17,Smart Watch,supportteamwasveryhelpful
167,Rahul,"Amazing experience, highly recommend",2025-03-14,Mobile App,amazingexperiencehighlyrecommend
168,Arun,Worst product ever,2025-07-30,E-commerce,worstproductever
169,Anitha,Decent product,2025-08-20,Internet Service,decentproduct
170,Pooja,"Amazing experience, highly recommend",2025-02-01,E-commerce,amazingexperiencehighlyrecommend
171,Pooja,Delivery was too late,2025-12-11,Headphones,deliverywastoolate
172,Sneha,Nothing special,2025-10-22,Headphones,nothingspecial
173,Karthik,Very bad experience and disappointed,2025-03-10,E-commerce,verybadexperienceanddisappointed
174,Divya,Acceptable performance,2025-12-10,Smart Watch,acceptableperformance
175,Manoj,Excellent quality and very satisfied,2025-06-30,Headphones,excellentqualityandverysatisfied
176,Divya,Support team was very helpful,2025-01-11,Laptop,supportteamwasveryhelpful
177,Manoj,Support team was very helpful,2025-05-18,Mobile,supportteamwasveryhelpful
178,Arun,Customer support did not respond,2025-08-10,Smart Watch,customersupportdidnotrespond
179,Anitha,Support team was very helpful,2025-02-15,Mobile App,supportteamwasveryhelpful
180,Sneha,Average experience,2025-08-18,Mobile App,averageexperience
181,Priya,Average experience,2025-05-06,Headphones,averageexperience
182,Anitha,Support team was very helpful,2025-03-07,Laptop,supportteamwasveryhelpful
183,Divya,Acceptable performance,2025-09-09,E-commerce,acceptableperformance
184,Suresh,Poor quality and waste of money,2025-11-11,Mobile App,poorqualityandwasteofmoney
185,Anitha,Decent product,2025-11-13,Laptop,decentproduct
186,Divya,Average experience,2025-03-03,Laptop,averageexperience
187,Arun,Nothing special,2025-04-22,Headphones,nothingspecial
188,Pooja,Average experience,2025-05-19,Smart Watch,averageexperience
189,Manoj,Very bad experience and disappointed,2025-10-17,Mobile,verybadexperienceanddisappointed
190,Sneha,Very happy with the product,2025-01-05,Internet Service,veryhappywiththeproduct
191,Rahul,Acceptable performance,2025-03-01,Mobile App,acceptableperformance
192,Priya,"Amazing experience, highly recommend",2025-10-26,Internet Service,amazingexperiencehighlyrecommend
193,Divya,Very bad experience and disappointed,2025-07-07,E-commerce,verybadexperienceanddisappointed
194,Divya,Decent product,2025-08-24,Laptop,decentproduct
195,Rahul,Great service and fast delivery,2025-01-09,Banking App,greatserviceandfastdelivery
196,Sneha,Delivery was too late,2025-09-26,Mobile,deliverywastoolate
197,Anitha,Worst product ever,2025-03-28,Mobile,worstproductever
198,Pooja,Very bad experience and disappointed,2025-04-03,E-commerce,verybadexperienceanddisappointed
199,Suresh,Very bad experience and disappointed,2025-05-16,Headphones,verybadexperienceanddisappointed
200,Divya,Decent product,2025-04-05,Smart Watch,decentproduct
201,Arun,Great service and fast delivery,2025-11-11,Mobile App,greatserviceandfastdelivery
202,Suresh,Decent product,2025-02-21,E-commerce,decentproduct
203,Anitha,Acceptable performance,2025-07-11,Smart Watch,acceptableperformance
204,Divya,"Amazing experience, highly recommend",2025-05-31,Laptop,amazingexperiencehighlyrecommend
205,Anitha,Very happy with the product,2025-07-27,Mobile,veryhappywiththeproduct
206,Sneha,Delivery was too late,2025-04-16,Mobile,deliverywastoolate
207,Manoj,Very happy with the product,2025-12-15,Internet Service,veryhappywiththeproduct
208,Suresh,Acceptable performance,2025-11-30,Headphones,acceptableperformance
209,Pooja,Acceptable performance,2025-08-07,Banking App,acceptableperformance
210,Divya,Acceptable performance,2025-05-04,Mobile App,acceptableperformance
211,Pooja,Nothing special,2025-01-19,Smart Watch,nothingspecial
212,Priya,"Amazing experience, highly recommend",2025-03-27,Banking App,amazingexperiencehighlyrecommend
213,Pooja,Acceptable performance,2025-10-20,Mobile App,acceptableperformance
214,Divya,Great service and fast delivery,2025-09-30,Headphones,greatserviceandfastdelivery
215,Karthik,Excellent quality and very satisfied,2025-06-21,Smart Watch,excellentqualityandverysatisfied
216,Karthik,Nothing special,2025-07-06,Mobile App,nothingspecial
217,Divya,Excellent quality and very satisfied,2025-07-10,Laptop,excellentqualityandverysatisfied
218,Sneha,Okay for the price,2025-02-03,Laptop,okayfortheprice
219,Priya,Very bad experience and disappointed,2025-06-14,Internet Service,verybadexperienceanddisappointed
220,Arun,Excellent quality and very satisfied,2025-08-22,Headphones,excellentqualityandverysatisfied
221,Rahul,Acceptable performance,2025-09-22,Internet Service,acceptableperformance
222,Anitha,Support team was very helpful,2025-12-07,Smart Watch,supportteamwasveryhelpful
223,Karthik,Very happy with the product,2025-08-12,Laptop,veryhappywiththeproduct
224,Pooja,"Amazing experience, highly recommend",2025-02-03,Headphones,amazingexperiencehighlyrecommend
225,Sneha,Decent product,2026-01-01,Laptop,decentproduct
226,Manoj,Decent product,2025-02-04,Mobile,decentproduct
227,Rahul,Okay for the price,2025-11-30,Mobile App,okayfortheprice
228,Arun,Decent product,2025-02-04,Headphones,decentproduct
229,Divya,Okay for the price,2025-09-30,Headphones,okayfortheprice
230,Arun,Okay for the price,2025-07-07,Mobile App,okayfortheprice
231,Pooja,Excellent quality and very satisfied,2025-11-14,Headphones,excellentqualityandverysatisfied
232,Sneha,Poor quality and waste of money,2025-01-06,Laptop,poorqualityandwasteofmoney
233,Sneha,Great service and fast delivery,2025-03-07,Mobile,greatserviceandfastdelivery
234,Divya,Decent product,2025-11-01,E-commerce,decentproduct
235,Pooja,Worst product ever,2025-08-16,Mobile App,worstproductever
236,Divya,Support team was very helpful,2025-07-20,Headphones,supportteamwasveryhelpful
237,Pooja,"Amazing experience, highly recommend",2025-06-24,Headphones,amazingexperiencehighlyrecommend
238,Divya,Delivery was too late,2025-05-26,Internet Service,deliverywastoolate
239,Suresh,Worst product ever,2025-07-31,Headphones,worstproductever
240,Divya,Decent product,2025-12-06,Smart Watch,decentproduct
241,Rahul,Delivery was too late,2025-01-15,E-commerce,deliverywastoolate
242,Divya,Nothing special,2025-01-11,Mobile App,nothingspecial
243,Karthik,Customer support did not respond,2025-08-01,Banking App,customersupportdidnotrespond
244,Priya,"Amazing experience, highly recommend",2025-11-07,E-commerce,amazingexperiencehighlyrecommend
245,Sneha,Customer support did not respond,2025-06-01,Mobile,customersupportdidnotrespond
246,Manoj,Delivery was too late,2025-04-04,E-commerce,deliverywastoolate
247,Suresh,Nothing special,2025-01-12,Banking App,nothingspecial
248,Sneha,Okay for the price,2025-11-08,E-commerce,okayfortheprice
249,Arun,Very bad experience and disappointed,2025-12-10,Internet Service,verybadexperienceanddisappointed
250,Suresh,Excellent quality and very satisfied,2025-08-13,Laptop,excellentqualityandverysatisfied
251,Pooja,"Amazing experience, highly recommend",2025-09-05,Internet Service,amazingexperiencehighlyrecommend
252,Arun,Poor quality and waste of money,2025-08-07,Headphones,poorqualityandwasteofmoney
253,Manoj,Delivery was too late,2025-02-21,Internet Service,deliverywastoolate
254,Priya,Very bad experience and disappointed,2025-04-04,Laptop,verybadexperienceanddisappointed
255,Pooja,Very happy with the product,2025-02-14,E-commerce,veryhappywiththeproduct
256,Manoj,Excellent quality and very satisfied,2025-01-01,Mobile App,excellentqualityandverysatisfied
257,Priya,Very bad experience and disappointed,2025-04-03,Internet Service,verybadexperienceanddisappointed
258,Karthik,Nothing special,2025-03-22,Mobile,nothingspecial
259,Arun,Okay for the price,2025-11-16,Headphones,okayfortheprice
260,Priya,Poor quality and waste of money,2025-06-19,Mobile,poorqualityandwasteofmoney
261,Priya,Average experience,2025-10-31,Internet Service,averageexperience
262,Arun,"Amazing experience, highly recommend",2025-08-13,Headphones,amazingexperiencehighlyrecommend
263,Divya,"Amazing experience, highly recommend",2025-01-29,Smart Watch,amazingexperiencehighlyrecommend
264,Suresh,"Amazing experience, highly recommend",2025-05-03,Banking App,amazingexperiencehighlyrecommend
265,Priya,Poor quality and waste of money,2025-12-23,Mobile App,poorqualityandwasteofmoney
266,Pooja,Worst product ever,2025-08-23,Smart Watch,worstproductever
267,Priya,Okay for the price,2025-04-19,Mobile,okayfortheprice
268,Priya,Very happy with the product,2025-10-29,Headphones,veryhappywiththeproduct
269,Divya,Okay for the price,2025-09-19,Internet Service,okayfortheprice
270,Sneha,Acceptable performance,2025-06-02,E-commerce,acceptableperformance
271,Divya,Very bad experience and disappointed,2025-12-05,Banking App,verybadexperienceanddisappointed
272,Divya,Very happy with the product,2025-05-16,E-commerce,veryhappywiththeproduct
273,Arun,Acceptable performance,2025-04-02,Smart Watch,acceptableperformance
274,Rahul,Acceptable performance,2025-10-23,E-commerce,acceptableperformance
275,Anitha,Very happy with the product,2025-03-21,Mobile App,veryhappywiththeproduct
276,Rahul,Nothing special,2025-10-17,Mobile,nothingspecial
277,Sneha,Worst product ever,2025-11-12,Headphones,worstproductever
278,Rahul,Worst product ever,2025-10-10,E-commerce,worstproductever
279,Suresh,Worst product ever,2025-09-04,Mobile App,worstproductever
280,Pooja,Great service and fast delivery,2025-05-15,Banking App,greatserviceandfastdelivery
281,Sneha,"Amazing experience, highly recommend",2025-04-01,Headphones,amazingexperiencehighlyrecommend
282,Anitha,Poor quality and waste of money,2025-01-24,Headphones,poorqualityandwasteofmoney
283,Pooja,Okay for the price,2025-07-12,Mobile App,okayfortheprice
284,Anitha,Customer support did not respond,2025-04-01,Internet Service,customersupportdidnotrespond
285,Priya,Okay for the price,2025-07-27,Laptop,okayfortheprice
286,Rahul,Worst product ever,2025-08-19,Mobile App,worstproductever
287,Pooja,Support team was very helpful,2025-12-23,Banking App,supportteamwasveryhelpful
288,Suresh,Nothing special,2025-04-13,Laptop,nothingspecial
289,Anitha,Decent product,2025-06-14,Banking App,decentproduct
290,Suresh,Customer support did not respond,2025-10-31,Headphones,customersupportdidnotrespond
291,Anitha,Customer support did not respond,2025-01-27,Mobile,customersupportdidnotrespond
292,Rahul,Customer support did not respond,2025-04-08,Headphones,customersupportdidnotrespond
293,Pooja,Poor quality and waste of money,2025-04-21,Headphones,poorqualityandwasteofmoney
294,Priya,Nothing special,2025-05-09,Laptop,nothingspecial
295,Pooja,Average experience,2025-01-27,E-commerce,averageexperience
296,Suresh,Decent product,2025-06-02,Mobile App,decentproduct
297,Pooja,Excellent quality and very satisfied,2025-07-22,Laptop,excellentqualityandverysatisfied
298,Priya,Excellent quality and very satisfied,2025-06-07,Internet Service,excellentqualityandverysatisfied
299,Karthik,Poor quality and waste of money,2025-07-27,Banking App,poorqualityandwasteofmoney
300,Suresh,Okay for the price,2025-12-06,Headphones,okayfortheprice
301,Priya,Okay for the price,2025-06-10,E-commerce,okayfortheprice
302,Priya,Excellent quality and very satisfied,2025-09-28,Mobile,excellentqualityandverysatisfied
303,Pooja,Delivery was too late,2025-03-13,Headphones,deliverywastoolate
304,Arun,Great service and fast delivery,2025-02-06,Smart Watch,greatserviceandfastdelivery
305,Karthik,Average experience,2025-05-30,Mobile App,averageexperience
306,Pooja,Support team was very helpful,2025-06-11,E-commerce,supportteamwasveryhelpful
307,Priya,Delivery was too late,2025-03-22,Mobile App,deliverywastoolate
308,Priya,Excellent quality and very satisfied,2025-02-05,Internet Service,excellentqualityandverysatisfied
309,Sneha,Support team was very helpful,2025-11-28,Headphones,supportteamwasveryhelpful
310,Anitha,Decent product,2025-01-31,Mobile,decentproduct
311,Sneha,Okay for the price,2025-08-13,Internet Service,okayfortheprice
312,Anitha,Nothing special,2025-03-17,Banking App,nothingspecial
313,Rahul,Acceptable performance,2025-11-01,E-commerce,acceptableperformance
314,Anitha,Very happy with the product,2025-06-25,Headphones,veryhappywiththeproduct
315,Anitha,Support team was very helpful,2025-05-03,E-commerce,supportteamwasveryhelpful
316,Suresh,Support team was very helpful,2025-12-05,E-commerce,supportteamwasveryhelpful
317,Pooja,Very bad experience and disappointed,2025-08-07,Mobile,verybadexperienceanddisappointed
318,Pooja,Delivery was too late,2025-03-15,Headphones,deliverywastoolate
319,Divya,Worst product ever,2025-01-05,Smart Watch,worstproductever
320,Anitha,Very bad experience and disappointed,2025-05-22,Mobile App,verybadexperienceanddisappointed
321,Arun,Okay for the price,2025-06-03,Mobile App,okayfortheprice
322,Suresh,Very happy with the product,2025-10-18,Laptop,veryhappywiththeproduct
323,Divya,Support team was very helpful,2025-07-20,Laptop,supportteamwasveryhelpful
324,Priya,Worst product ever,2025-03-15,Mobile,worstproductever
325,Rahul,Very happy with the product,2025-12-30,Internet Service,veryhappywiththeproduct
326,Sneha,Very bad experience and disappointed,2025-09-19,Laptop,verybadexperienceanddisappointed
327,Anitha,"Amazing experience, highly recommend",2025-04-24,Mobile,amazingexperiencehighlyrecommend
328,Pooja,Okay for the price,2025-02-09,Banking App,okayfortheprice
329,Suresh,"Amazing experience, highly recommend",2025-11-23,Internet Service,amazingexperiencehighlyrecommend
330,Manoj,Decent product,2025-05-16,Internet Service,decentproduct
331,Priya,Great service and fast delivery,2025-12-11,Banking App,greatserviceandfastdelivery
332,Karthik,Very bad experience and disappointed,2025-06-28,Laptop,verybadexperienceanddisappointed
333,Divya,Support team was very helpful,2025-12-15,Banking App,supportteamwasveryhelpful
334,Manoj,Very happy with the product,2025-09-21,Internet Service,veryhappywiththeproduct
335,Suresh,Average experience,2025-07-04,Mobile App,averageexperience
336,Divya,Very happy with the product,2025-01-15,E-commerce,veryhappywiththeproduct
337,Anitha,Nothing special,2025-03-10,Headphones,nothingspecial
338,Karthik,Customer support did not respond,2025-01-28,Banking App,customersupportdidnotrespond
339,Priya,Decent product,2025-04-12,E-commerce,decentproduct
340,Sneha,Poor quality and waste of money,2025-09-04,Mobile,poorqualityandwasteofmoney
341,Sneha,Delivery was too late,2025-02-11,E-commerce,deliverywastoolate
342,Arun,"Amazing experience, highly recommend",2025-09-25,Banking App,amazingexperiencehighlyrecommend
343,Manoj,"Amazing experience, highly recommend",2025-10-01,Laptop,amazingexperiencehighlyrecommend
344,Divya,Okay for the price,2025-10-17,Headphones,okayfortheprice
345,Arun,Worst product ever,2025-05-12,Smart Watch,worstproductever
346,Anitha,Poor quality and waste of money,2025-09-16,Laptop,poorqualityandwasteofmoney
347,Rahul,Customer support did not respond,2025-02-26,Banking App,customersupportdidnotrespond
348,Suresh,Delivery was too late,2025-10-20,E-commerce,deliverywastoolate
349,Rahul,Average experience,2025-10-31,Internet Service,averageexperience
350,Manoj,Nothing special,2025-01-23,Banking App,nothingspecial
351,Arun,Okay for the price,2025-11-27,Mobile App,okayfortheprice
352,Anitha,Worst product ever,2025-06-22,Mobile,worstproductever
353,Pooja,Delivery was too late,2025-03-30,Mobile,deliverywastoolate
354,Priya,Great service and fast delivery,2025-05-17,E-commerce,greatserviceandfastdelivery
355,Suresh,Very happy with the product,2025-10-10,Mobile App,veryhappywiththeproduct
356,Suresh,Nothing special,2025-08-10,Mobile,nothingspecial
357,Manoj,Worst product ever,2025-11-06,Internet Service,worstproductever
358,Pooja,Poor quality and waste of money,2025-10-17,Smart Watch,poorqualityandwasteofmoney
359,Divya,Worst product ever,2025-03-03,Laptop,worstproductever
360,Priya,Very bad experience and disappointed,2025-10-29,Internet Service,verybadexperienceanddisappointed
361,Pooja,Excellent quality and very satisfied,2025-08-18,Headphones,excellentqualityandverysatisfied
